Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,DiversityWeight,DensityWeight,BatchSize,Partition,Time,Memory,JobName,Output
CarEvaluation,0,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,0CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/0CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,0,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,0CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/0CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,0,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,0CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/0CE_BALD_B1.pkl
CarEvaluation,1,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,1CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/1CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,1,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,1CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/1CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,1,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,1CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/1CE_BALD_B1.pkl
CarEvaluation,2,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,2CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/2CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,2,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,2CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/2CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,2,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,2CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/2CE_BALD_B1.pkl
CarEvaluation,3,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,3CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/3CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,3,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,3CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/3CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,3,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,3CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/3CE_BALD_B1.pkl
CarEvaluation,4,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,4CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/4CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,4,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,4CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/4CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,4,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,4CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/4CE_BALD_B1.pkl
CarEvaluation,5,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,5CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/5CE_BALD_B1.pkl
CarEvaluation,5,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,5CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/5CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,5,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,5CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/5CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,6,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,6CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/6CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,6,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,6CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/6CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,6,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,6CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/6CE_BALD_B1.pkl
CarEvaluation,7,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,7CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/7CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,7,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,7CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/7CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,7,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,7CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/7CE_BALD_B1.pkl
CarEvaluation,8,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,8CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/8CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,8,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,8CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/8CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,8,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,8CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/8CE_BALD_B1.pkl
CarEvaluation,9,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,9CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/9CE_BALD_B1.pkl
CarEvaluation,9,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,9CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/9CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,9,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,9CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/9CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,10,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,10CE_UA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/10CE_UA025_DW333_DEW333_B1.pkl
CarEvaluation,10,0.2,0.8,BatchQBCDiversityFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,0.333,0.333,1,short,00:59:00,30000M,10CE_DA025_DW333_DEW333_B1,CarEvaluation/TreeFarms/Raw/10CE_DA025_DW333_DEW333_B1.pkl
CarEvaluation,10,0.2,0.8,BaldSelectorFunction,BayesianNeuralNetworkFunction,0,0,0.0,Adder,0.0,Classification,0.0,0.0,1,short,00:59:00,30000M,10CE_BALD_B1,CarEvaluation/BayesianNeuralNetwork/Raw/10CE_BALD_B1.pkl
