BatchSize,CandidateProportion,Data,DensityWeight,DiversityWeight,K_BALD_Samples,Memory,ModelType,Partition,RashomonThreshold,RashomonThresholdType,RefitFrequency,Seed,SelectorType,TestProportion,Time,Type,UniqueErrorsInput,batch_size_train,dropout_rate,epochs,hidden_size,kernel_length_scale,kernel_nu,kernel_type,learning_rate,max_iter_predict,n_estimators,n_restarts_optimizer,optimizer,regularization,JobName,Output
50,0.8,FICO,0.0,0.0,0.0,1000M,RandomForestClassifierPredictor,short,0.0,Adder,0.0,0,PassiveLearningSelector,0.2,00:59:00,Classification,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100,0.0,,0.01,0FI_PL_RF_UEI0A0_DW0_DEW0_B50,FICO/RandomForestClassifierPredictor/Raw/0FI_PL_RF_UEI0A0_DW0_DEW0_B50.pkl
50,0.8,FICO,0.333,0.333,0.0,30000M,TreefarmsLFRPredictor,short,0.025,Adder,1.0,0,BatchQBCDiversitySelector,0.2,11:59:00,Classification,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100,0.0,,0.01,0FI_MTTreefarmsLFRPredictor_STBatchQBCDiversitySelector_UEI0A025_DW333_DEW333_B50,FICO/TreefarmsLFRPredictor/Raw/0FI_MTTreefarmsLFRPredictor_STBatchQBCDiversitySelector_UEI0A025_DW333_DEW333_B50.pkl
50,0.8,FICO,0.0,0.0,0.0,30000M,GaussianProcessClassifierPredictor,short,0.0,Adder,0.0,0,PassiveLearningSelector,0.2,11:59:00,Classification,0,0.0,0.0,0.0,0.0,1.0,1.5,RBF,0.0,100.0,0,0.0,fmin_l_bfgs_b,0.0,0FI_PL_GPC_UEI0A0_DW0_DEW0_B50,FICO/GaussianProcessClassifierPredictor/Raw/0FI_PL_GPC_UEI0A0_DW0_DEW0_B50.pkl
50,0.8,FICO,0.333,0.333,0.0,1000M,RandomForestClassifierPredictor,short,0.0,Adder,0.0,0,BatchQBCDiversitySelector,0.2,00:59:00,Classification,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100,0.0,,0.01,0FI_QBC_RF_UEI0A0_DW333_DEW333_B50,FICO/RandomForestClassifierPredictor/Raw/0FI_QBC_RF_UEI0A0_DW333_DEW333_B50.pkl
50,0.8,FICO,0.0,0.0,20.0,30000M,BayesianNeuralNetworkPredictor,short,0.0,Adder,0.0,0,PassiveLearningSelector,0.2,11:59:00,Classification,0,32.0,0.2,100.0,50.0,0.0,0.0,,0.001,0.0,0,0.0,,0.0,0FI_PL_BNN_UEI0A0_DW0_DEW0_B50,FICO/BayesianNeuralNetworkPredictor/Raw/0FI_PL_BNN_UEI0A0_DW0_DEW0_B50.pkl
50,0.8,FICO,0.333,0.333,0.0,30000M,TreeFarmsPredictor,short,0.025,Adder,0.0,0,BatchQBCDiversitySelector,0.2,11:59:00,Classification,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100,0.0,,0.01,0FI_DUREAL_UEI0A025_DW333_DEW333_B50,FICO/TreeFarmsPredictor/Raw/0FI_DUREAL_UEI0A025_DW333_DEW333_B50.pkl
50,0.8,FICO,0.0,0.0,20.0,30000M,BayesianNeuralNetworkPredictor,short,0.0,Adder,0.0,0,BALDSelector,0.2,11:59:00,Classification,0,32.0,0.2,100.0,50.0,0.0,0.0,,0.001,0.0,0,0.0,,0.0,0FI_BALD_BNN_UEI0A0_DW0_DEW0_B50,FICO/BayesianNeuralNetworkPredictor/Raw/0FI_BALD_BNN_UEI0A0_DW0_DEW0_B50.pkl
50,0.8,FICO,0.333,0.333,0.0,30000M,TreeFarmsPredictor,short,0.025,Adder,0.0,0,BatchQBCDiversitySelector,0.2,11:59:00,Classification,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100,0.0,,0.01,0FI_UNREAL_UEI1A025_DW333_DEW333_B50,FICO/TreeFarmsPredictor/Raw/0FI_UNREAL_UEI1A025_DW333_DEW333_B50.pkl
50,0.8,FICO,0.0,0.0,20.0,30000M,GaussianProcessClassifierPredictor,short,0.0,Adder,0.0,0,BALDSelector,0.2,11:59:00,Classification,0,0.0,0.0,0.0,0.0,1.0,1.5,RBF,0.0,100.0,0,0.0,fmin_l_bfgs_b,0.0,0FI_BALD_GPC_UEI0A0_DW0_DEW0_B50,FICO/GaussianProcessClassifierPredictor/Raw/0FI_BALD_GPC_UEI0A0_DW0_DEW0_B50.pkl
50,0.8,FICO,0.333,0.333,0.0,1000M,RandomForestClassifierPredictor,short,0.0,Adder,0.0,1,BatchQBCDiversitySelector,0.2,00:59:00,Classification,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100,0.0,,0.01,1FI_QBC_RF_UEI0A0_DW333_DEW333_B50,FICO/RandomForestClassifierPredictor/Raw/1FI_QBC_RF_UEI0A0_DW333_DEW333_B50.pkl
