BatchSize,CandidateProportion,Data,DensityWeight,DiversityWeight,Memory,ModelType,Partition,RashomonThreshold,RashomonThresholdType,Seed,SelectorType,TestProportion,Time,Type,UniqueErrorsInput,n_estimators,regularization,MethodName,JobName,Output
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,0,BatchQBCSelector,0.2,11:59:00,Classification,1,100,0.01,UNREAL,0IS_UNREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/0IS_UNREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,0,BatchQBCSelector,0.2,11:59:00,Classification,0,100,0.01,DUREAL,0IS_DUREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/0IS_DUREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,1,BatchQBCSelector,0.2,11:59:00,Classification,1,100,0.01,UNREAL,1IS_UNREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/1IS_UNREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,1,BatchQBCSelector,0.2,11:59:00,Classification,0,100,0.01,DUREAL,1IS_DUREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/1IS_DUREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,2,BatchQBCSelector,0.2,11:59:00,Classification,1,100,0.01,UNREAL,2IS_UNREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/2IS_UNREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,2,BatchQBCSelector,0.2,11:59:00,Classification,0,100,0.01,DUREAL,2IS_DUREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/2IS_DUREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,3,BatchQBCSelector,0.2,11:59:00,Classification,1,100,0.01,UNREAL,3IS_UNREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/3IS_UNREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,3,BatchQBCSelector,0.2,11:59:00,Classification,0,100,0.01,DUREAL,3IS_DUREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/3IS_DUREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,4,BatchQBCSelector,0.2,11:59:00,Classification,1,100,0.01,UNREAL,4IS_UNREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/4IS_UNREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,4,BatchQBCSelector,0.2,11:59:00,Classification,0,100,0.01,DUREAL,4IS_DUREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/4IS_DUREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,5,BatchQBCSelector,0.2,11:59:00,Classification,0,100,0.01,DUREAL,5IS_DUREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/5IS_DUREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,5,BatchQBCSelector,0.2,11:59:00,Classification,1,100,0.01,UNREAL,5IS_UNREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/5IS_UNREAL_A025_DW0_DEW0_B1.pkl
1,0.8,Iris,0,0,30000M,TreeFarmsPredictor,short,0.025,Adder,6,BatchQBCSelector,0.2,11:59:00,Classification,1,100,0.01,UNREAL,6IS_UNREAL_A025_DW0_DEW0_B1,Iris/TreeFarmsPredictor/Raw/6IS_UNREAL_A025_DW0_DEW0_B1.pkl
