0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
192,342,325,130,82,62,33,39,39,37,46,50,50,37,32,22,15,11,8,8,4,1,1,1,1,1
162,111,140,70,52,47,43,55,47,47,60,50,50,19,19,17,4,2,1,1,1,1,1,2,2,1
306,253,161,29,36,36,40,44,44,37,34,34,34,27,17,17,11,3,5,2,1,2,1,1,1,1
70,60,62,96,63,86,100,125,125,125,115,110,110,110,39,21,18,11,8,3,2,1,1,1,1,1
136,99,61,60,78,77,84,109,96,96,92,82,84,74,25,20,22,18,6,3,3,2,1,1,1,1
311,307,449,362,115,47,72,70,70,70,75,56,58,47,41,11,12,3,3,1,1,1,1,1,1,1
133,177,132,138,100,63,82,49,49,49,41,42,42,34,34,34,28,9,9,6,1,1,1,2,2,1
326,257,266,305,41,28,23,24,19,10,11,11,11,11,11,11,11,11,7,4,4,5,5,3,1,1
110,83,97,41,33,18,15,12,12,10,11,11,15,15,11,3,3,3,3,1,1,1,1,1,1,1
60,61,63,68,62,58,61,48,26,19,15,16,16,16,11,10,11,8,8,5,2,1,1,1,1,1
55,106,119,157,114,97,97,54,44,44,44,40,19,19,11,6,3,3,3,3,1,2,2,2,1,1
327,142,117,63,48,43,36,45,24,24,31,26,26,11,11,9,9,5,2,2,1,2,1,1,1,1
66,61,40,43,19,40,44,52,48,45,41,41,33,23,23,23,15,12,8,8,5,1,1,1,1,2
113,288,250,141,125,96,55,17,17,15,19,21,19,19,19,13,11,11,4,1,1,1,1,1,1,1
161,263,362,126,122,95,110,114,89,82,52,56,59,44,28,22,22,13,2,1,1,1,1,2,2,1
137,80,30,16,16,26,26,38,29,25,16,17,10,8,8,5,5,3,2,1,1,1,1,1,1,1
45,104,73,50,47,43,35,20,20,16,16,8,6,6,6,6,6,6,7,7,7,3,1,1,1,2
94,144,170,80,40,36,32,40,40,30,36,39,35,20,19,16,9,9,3,1,1,1,1,1,1,1
58,79,68,140,90,90,98,119,44,37,43,48,38,26,18,18,10,3,3,1,1,1,1,1,1,1
83,134,113,94,32,23,24,28,28,23,19,22,18,18,13,13,14,7,3,3,1,1,1,1,1,1
220,67,319,109,105,100,146,80,80,71,69,72,72,56,51,41,14,9,6,1,1,1,1,1,1,1
278,103,172,152,110,97,52,27,27,27,12,13,14,14,14,11,6,3,3,1,1,1,1,1,1,1
399,110,72,150,100,64,71,75,58,58,65,60,60,43,36,22,20,19,10,10,10,3,3,3,1,1
227,433,145,134,130,91,79,98,61,47,49,39,39,27,23,14,7,7,4,1,1,1,1,1,1,1
93,82,97,103,92,78,63,43,32,32,29,35,36,24,24,21,8,7,8,8,8,4,2,1,1,1
41,83,174,98,58,19,14,16,16,16,18,8,5,5,5,4,4,4,4,2,1,1,1,1,1,1
153,63,78,74,68,60,63,47,22,18,20,17,17,12,11,11,11,7,7,2,2,1,1,1,1,1
323,132,201,66,56,55,76,73,56,51,56,45,15,15,15,4,4,2,2,2,1,1,1,1,1,1
243,48,98,57,53,55,49,65,57,42,44,41,17,17,17,8,6,3,3,1,1,2,1,1,1,1
660,155,119,63,55,51,57,77,54,33,34,33,26,26,19,10,9,2,3,2,1,1,1,1,1,1
125,70,69,109,60,53,52,56,56,28,35,39,32,32,20,15,11,7,3,1,1,1,1,1,1,1
302,138,197,102,89,74,30,33,33,27,31,31,15,10,10,5,5,5,2,1,1,1,1,1,1,1
158,98,124,103,88,88,105,141,86,88,94,109,43,36,20,20,20,20,20,6,3,1,1,1,1,1
174,147,124,72,63,41,41,37,25,18,23,23,19,18,18,15,11,3,3,2,1,2,2,2,1,1
46,76,76,57,57,48,77,97,97,80,53,41,41,41,41,19,10,9,5,5,5,3,2,1,1,1
137,189,71,68,57,47,48,57,40,40,25,21,12,12,12,12,4,4,3,3,2,1,1,1,1,1
304,262,136,59,52,46,48,59,52,48,29,17,17,17,14,9,6,5,2,2,1,1,1,1,1,1
228,84,76,61,54,53,57,77,77,77,67,72,66,66,57,52,52,15,12,12,7,1,1,1,1,1
325,229,44,23,23,23,25,32,24,24,23,15,8,7,7,5,5,2,1,1,1,1,1,1,1,1
217,219,86,47,41,35,30,28,27,27,26,26,18,18,15,15,16,10,4,3,3,2,1,1,1,1
492,109,82,118,88,71,29,32,34,22,26,28,22,16,12,12,12,10,2,1,1,1,1,1,1,1
194,212,68,79,38,38,36,43,39,39,47,38,18,11,11,11,11,10,4,1,1,1,1,1,1,1
76,80,81,95,65,63,70,77,77,77,70,30,30,30,25,25,12,5,7,3,3,2,1,1,1,1
182,163,57,55,42,42,34,37,37,30,40,34,27,24,12,10,10,7,8,2,2,1,1,1,1,1
165,249,200,83,54,45,48,24,24,18,26,29,29,22,16,16,14,14,15,3,1,1,1,1,1,1
147,454,386,125,99,81,73,62,74,62,45,19,19,17,17,10,6,3,3,3,1,1,1,1,1,1
33,81,99,36,45,19,19,22,22,22,23,16,16,16,16,16,16,16,5,4,3,3,2,1,1,1
154,96,115,79,48,48,46,72,72,67,81,82,49,43,43,22,13,14,7,2,1,1,1,1,1,1
376,471,172,57,35,35,37,45,19,10,12,11,10,9,9,5,5,3,2,1,1,1,1,1,1,1
220,190,152,118,105,76,46,35,19,10,12,12,9,9,9,9,9,9,6,2,1,2,1,1,1,1
