0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
362,636,41,356,668,556,146,326,6,75,494,431,330,114,386,177,340,599,273,222,442,378,121,339,433,54,652,267,472,67,594,189,37,14,4,314,548,60,457,697,321,454,511,327,242,333,643,31,684,133,540,117,345,342,563,96,94,523,303,32,458,613,16,217,610,530,678,42,410,605,197,129,587,91,536,497,395,543,367,654,421,495,1,344,252,453,334,304,86,115,83,358,22,516,8,374,178,464,105,583,168,498,572,546,396,476,692,136,428,19,578,647,392,243,426,432,256,571,49,507,660,427,29,462,361,488,102,137
408,106,330,348,339,37,240,326,389,422,356,121,382,75,38,442,636,624,111,273,378,189,146,433,67,41,555,532,426,540,652,62,567,270,242,368,42,361,684,497,16,8,457,498,243,639,83,647,583,697,605,100,395,172,1,87,416,334,523,252,117,367,19,511,314,197,278,105,390,423,594,230,681,7,543,606,396,115,96,572,30,290,327,168,401,138,428,610,516,582,509,374,129,11,358,608,421,342,136,571,413,137,488,536,643,529,578,140,29,49,678,286,178,233,217,585,462,620,94,622,321,31,14,281,692,86,495,258
382,599,348,556,222,431,668,326,6,442,552,177,50,121,624,340,339,495,588,430,189,38,516,378,426,544,86,14,532,472,120,41,458,179,567,497,613,136,620,572,423,49,31,660,29,115,476,652,416,546,578,304,509,22,507,549,410,296,230,46,457,697,105,427,60,583,563,692,256,605,396,32,107,608,530,281,367,172,654,374,97,453,696,639,8,392,395,87,129,413,201,197,606,102,587,368,499,432,364,585,695,138,91,30,536,278,178,243,345,361,358,523,529,543,314,42,321,462,511,390,334,290,582,548,684,658,140,242
668,362,146,273,408,38,326,386,6,422,389,599,485,62,54,340,114,433,697,552,106,594,41,624,636,339,430,158,67,49,267,270,555,50,454,100,457,179,233,133,120,610,652,608,374,507,294,31,532,548,314,495,392,334,303,462,117,345,197,281,19,11,546,410,217,138,1,87,252,344,523,333,678,7,201,204,140,476,498,544,327,290,46,464,60,605,511,529,168,256,681,395,4,639,172,29,497,543,102,458,540,509,427,606,258,647,692,358,696,423,368,516,14,91,620,86,361,16,115,670,129,572,660,230,32,364,105,137
442,389,362,433,556,240,408,326,6,41,356,386,348,552,668,494,485,422,378,340,454,273,75,37,339,624,696,50,121,189,431,426,179,14,488,106,243,270,390,67,587,622,201,9,606,168,342,529,432,476,548,453,361,7,647,91,497,1,571,252,344,107,530,54,540,608,507,83,620,133,22,304,678,29,392,659,233,582,396,458,327,212,410,120,32,498,423,94,172,242,536,563,60,462,670,509,613,178,639,86,605,428,129,421,697,401,345,583,290,413,546,457,4,643,654,278,105,281,374,472,19,296,46,681,368,572,204,217
433,668,556,177,382,389,494,386,146,330,37,38,636,362,273,114,552,588,326,624,62,555,111,41,339,454,613,567,67,356,605,495,138,497,462,294,587,120,7,652,563,296,49,46,86,697,60,670,270,622,610,267,100,204,532,19,178,498,22,286,472,212,252,333,117,453,523,334,179,416,367,536,42,578,660,639,243,390,16,392,499,548,321,358,458,546,168,137,410,281,511,140,654,696,97,423,582,457,530,115,507,1,107,304,681,529,314,396,692,172,432,571,608,659,258,516,233,217,647,374,364,421,695,395,4,413,242,197
546,121,636,571,348,382,114,408,599,362,556,326,6,386,658,333,389,117,488,240,111,485,107,86,378,177,422,273,146,549,339,530,100,431,453,14,222,442,334,243,50,430,49,358,230,54,189,321,344,416,133,605,37,457,427,544,120,60,622,7,136,242,413,421,608,540,567,327,129,428,314,140,578,543,572,11,410,495,19,647,462,342,361,32,639,499,8,613,367,233,432,563,659,454,97,497,582,294,652,281,660,4,516,168,472,258,583,102,178,696,212,96,204,511,345,368,498,396,585,684,217,115,304,401,536,286,509,138
177,382,668,38,408,389,362,146,556,348,485,340,326,422,240,117,111,67,453,599,273,75,339,158,555,378,41,523,567,106,37,433,107,50,121,426,361,179,54,430,367,87,427,488,60,321,652,587,115,472,102,511,678,296,14,549,86,230,605,32,659,643,364,421,495,516,681,544,410,1,42,563,97,178,529,390,197,168,583,457,585,136,96,401,19,137,94,233,499,290,11,622,532,120,204,546,476,454,548,91,497,660,281,9,342,138,22,610,613,242,29,696,140,30,458,256,543,278,327,345,620,536,100,684,286,258,217,498
177,240,362,67,668,382,408,6,386,348,494,339,356,330,599,389,422,273,378,340,433,114,588,38,431,62,106,636,50,121,189,426,100,485,442,624,587,454,49,430,9,532,252,571,107,1,658,333,87,334,344,270,367,421,670,594,105,54,345,511,390,695,22,583,31,567,242,605,86,536,178,549,296,697,29,457,133,14,458,392,639,11,582,8,572,529,358,497,428,613,548,258,294,256,368,364,696,610,462,476,217,136,60,659,303,413,684,96,243,137,83,395,423,499,168,94,540,608,692,464,197,654,516,678,578,401,327,498
556,362,552,348,494,340,326,240,408,422,668,389,339,382,75,433,442,222,485,624,50,426,454,83,41,567,67,146,430,189,129,432,106,462,100,37,416,684,344,11,242,583,168,334,97,511,201,374,19,610,488,643,458,133,212,217,647,670,314,548,495,230,179,395,94,9,563,594,695,178,585,321,658,137,4,243,390,31,497,499,453,476,605,368,523,678,571,29,136,681,540,42,654,608,413,549,333,544,197,281,696,138,86,30,286,536,258,613,659,304,427,423,107,172,660,32,8,256,96,396,252,1,115,606,296,401,364,421
389,50,668,382,348,6,422,494,408,386,38,114,362,378,588,552,636,146,540,430,356,339,37,158,189,222,442,507,54,62,555,613,67,133,594,321,115,647,605,622,140,49,548,60,314,529,97,392,22,583,643,453,367,9,178,31,549,401,684,464,137,572,334,462,499,608,129,582,278,458,11,46,652,327,587,432,172,267,523,96,258,16,390,286,230,42,296,697,14,4,197,563,530,290,102,457,1,107,252,333,304,344,87,658,511,374,342,179,472,497,410,364,509,610,368,395,413,654,427,204,544,294,476,546,30,361,243,83
