,0
0,93573.7946240902
1,82426.55922818184
2,52467.01092505455
3,43895.964941978455
4,103362.18601751328
5,48671.84459400177
6,10880.302588224413
7,23036.887778520584
8,106141.08653593063
9,10879.711008310318
10,48321.21343827248
11,5030.105244874954
12,5126.927127838135
13,63562.70812869072
14,149581.42229366302
15,29581.94353818893
16,46285.59159827232
17,59721.12838625908
18,36719.07949137688
19,63668.39351415634
20,30195.691981315613
21,57703.39300942421
22,18906.319787740707
23,23066.45389676094
24,32621.3394742012
25,60691.4045021534
26,17914.742666721344
27,80926.94488692284
28,16236.269317865372
29,41375.47481107712
30,18277.310837507248
31,76331.25086069107
32,45633.93201327324
33,40723.13962030411
34,5429.380448579788
35,24425.31773924828
36,47126.85592436791
37,58058.39330434799
38,22956.538721561432
39,74744.40078639984
40,28678.21923828125
41,70348.79515886307
42,37076.82725739479
43,56422.011412382126
44,43763.86790776253
45,29845.75178289413
46,58119.01617074013
47,73708.53315639496
48,64745.78899168968
49,80932.52277302742
50,105045.5573771
51,38836.0527575016
52,11148.004842996595
53,38625.56897616386
54,45863.59609866142
55,36634.78102016449
56,17208.68958377838
57,32802.89277458191
58,27643.663835525516
59,65935.52601122856
60,35514.364132642746
61,17658.600924491882
62,14789.345722913742
63,76765.74749994278
64,14461.7863509655
65,42194.09494614601
66,90244.44290685654
67,49443.62076473236
68,38685.1131298542
69,33345.522684812546
70,46263.00063920021
71,38975.80384922028
72,25902.151453971863
73,81016.33849668503
74,24005.677562475204
75,73509.8363544941
76,36182.36174416542
77,82666.45273709297
78,30894.806304693226
79,46340.85525035858
80,48716.22070646286
81,10822.6213285923
82,9361.912092208862
83,27202.12978553772
84,12940.834004163742
85,11300.299466371536
86,44032.60057282448
87,42382.55383729935
88,11226.05907011032
89,74113.49530649185
90,78157.03156876564
91,65323.33408045769
92,21183.70902276039
93,63129.63111305237
94,52874.24492263794
95,35930.68335056305
96,109727.2812476158
97,81360.69074344635
98,66693.38642764091
99,16044.126192569733
