0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
1266,709,48,335,1327,101,794,637,613,602,477,26175,24278,21155,3264,20571,3264,3264,20496,9699,3264,20716,3264,21122,3264,3270,10839,4052,4052,4081,3848,4052,4052,4117,3260,3260,4088,3876,4117,4089,4117,4055,4081,3238,4093,3843,4050,3843,4050,4076,4050,3234,3234,3997,4050,3238,3234,4035,3802,4035,4009,4009,4007,3783,3783,3877,3996,3984,3865,3877,3996,3993,3884,4035,3190,3190,3407,1290,1460,1533,1460,1460,1545,1545,1539,1545,696,1539,1462,1539,1539,1462,696,1194,696,1194
704,4778,2260,1365,1021,667,26882,25590,23463,20691,18290,19169,18561,18681,18521,18637,18629,18637,18805,18805,18645,18645,18653,18645,18597,18597,18389,3740,3752,3759,3726,3752,2186,3319,3576,3576,3768,3742,3790,3768,3790,3720,3802,3594,3724,3713,3724,3713,3924,3746,3700,2196,2148,3691,3700,2148,2148,3746,3588,3746,3700,3700,3691,3588,3588,3565,3734,3734,3565,3613,3937,3932,3762,3949,2328,2328,3554,1662,2251,2462,777,2251,2281,2464,2462,2464,777,2462,2464,2230,765,2464,2464,2253,1655,2253
134,579,529,483,474,58,437,539,584,580,531,531,531,531,62,531,62,369,543,493,381,531,425,531,425,68,537,537,537,657,579,579,76,207,461,461,579,579,657,579,657,579,657,465,627,627,627,627,1105,761,675,122,122,617,675,122,122,707,563,707,657,657,595,563,563,503,629,629,481,481,611,611,481,689,122,122,653,807,821,821,821,821,821,821,821,821,821,821,254,576,576,254,807,821,807,821
536,276,1388,2223,1594,1458,725,731,490,403,306,293,293,293,293,301,301,301,305,305,305,305,305,305,305,305,305,451,1551,1255,2917,429,2920,1932,7284,7272,1867,7251,1867,1867,1867,1867,1876,7597,1892,7616,1892,7616,1892,1892,1892,7597,7597,7640,1901,7892,7892,1901,7911,1901,1901,1901,1901,7931,7931,7955,1901,1901,7955,7955,1901,1901,7955,1901,7309,7309,8276,2310,3180,3498,1330,3196,2854,3498,3474,3474,1330,3474,3474,3171,1322,3474,3474,3166,2300,3166
1082,521,2534,1586,901,495,328,211,191,184,210,178,168,166,9144,8622,6798,6830,6824,6859,6855,6982,6976,6968,6976,6968,6502,7623,7623,7630,7636,7630,7630,7630,1370,1370,6355,1833,7565,6355,7706,6135,7706,1287,1287,1447,1287,1447,1287,1454,1287,1454,1454,1454,1287,1287,1287,1454,1447,1454,1287,1287,1454,1447,1447,1454,1287,1287,1454,1454,1287,1454,1454,1454,1287,1287,935,222,103,224,103,110,267,238,257,238,242,257,267,265,110,267,267,110,252,110
9,586,2082,1848,1591,10136,1075,1018,971,798,775,704,654,647,5769,641,6147,6535,641,641,6460,641,6468,647,6468,5962,594,850,841,843,6321,807,6450,6670,6702,6702,807,804,807,807,807,807,825,6394,818,6705,818,6705,818,818,818,5735,6123,6713,818,6394,6394,818,6705,818,818,818,818,6705,6705,6713,818,818,6713,6713,818,815,6713,836,6461,6461,7434,2115,2474,2041,2452,2474,2748,2409,2041,2409,2452,2041,2698,2745,2745,2698,1094,2474,1094,2474
10173,7693,3459,3293,20666,77098,9028,7372,4798,4794,11046,7976,7842,34438,19748,20648,20648,20987,20467,14852,36604,81636,80390,83756,361124,80048,126956,80228,81631,80180,81631,8169,600,146,578,570,520,146,146,520,146,230,146,228,216,148,232,148,216,148,248,728,624,486,216,244,236,148,148,148,216,168,694,148,148,472,168,168,472,604,168,693,604,466,270,270,856,790,615,1015,731,615,1229,1221,1229,1221,852,1229,901,1229,1237,1188,1172,1121,724,1121
727,892,502,163,81,71,56,60,59,59,61,63,63,63,63,63,63,63,63,63,67,67,67,67,67,67,67,120,114,113,102,448,2956,3167,3227,3227,335,335,335,335,335,334,335,355,346,347,346,347,2936,3193,2936,353,3259,2898,348,3259,355,3135,2458,3135,329,329,2810,355,2519,2660,331,331,2660,2660,333,333,2696,333,355,355,3342,1572,1792,1798,1792,1792,1858,1786,1798,1786,1792,1798,548,1117,1117,548,1572,1792,1572,1792
490,2485,1269,838,14627,18764,10556,16812,15354,15022,8677,9262,470,434,433,378,378,402,382,2488,402,382,2372,438,2870,438,2989,564,3437,584,558,3109,571,3146,577,577,3109,2992,584,3109,584,564,584,3151,579,3007,579,3021,2882,3161,2882,3116,594,594,581,594,3151,3163,581,3163,581,581,594,2951,581,3126,581,581,3126,594,587,3163,594,2945,588,588,1973,761,1495,1387,1499,1495,1654,1392,1387,1392,1499,1387,1606,1652,1652,1606,761,1495,761,1495
610,524,2786,1305,888,3202,2944,11609,10967,10307,907,829,827,3893,3845,3882,3888,3907,3884,3848,3907,3888,3238,3888,3238,3888,1500,771,771,809,740,771,771,833,236,236,794,763,833,814,826,815,826,238,817,758,817,758,817,828,817,238,238,809,817,238,238,828,758,828,817,817,809,758,758,759,815,815,759,759,815,815,757,828,238,238,671,325,119,175,321,119,325,321,173,319,319,173,251,119,321,251,255,119,323,119
