0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447
66,193,109,57,19,298,143,74,42,51,22,267,200,83,70,342,234,303,128,109,120,300,296,279,279,279,279,279,279,279,279,609,609,681,681,681,681,681,681,681,681,681,681,681,681,681,681,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,690,737,728,696,694,688,771,718,1103,875,506,889,520,1276,861,391,389,359,2465,2446,2410,2073,2410,2410,2410,2466,2466,2410,2410,2410,2410,2410,2410,2466,2473,2473,2417,2417,2490,2490,2490,2546,2490,2546,2546,2546,2490,2546,2490,2490,2696,2742,2738,2666,2666,2666,2666,2666,2666,2666,2638,2638,2666,2638,2666,2638,1362,1362,1362,1383,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1377,1445,1445,1445,1445,1445,1445,1445,1445,1445,984,984,984,998,992,992,992,992,992,992,992,992,992,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,958,958,958,958,958,958,958,854,854,854,854,854,854,854,854,854,854,854,605,607,605,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,409,409,409,409,409,411,411,411,411,411,411,411,411,411,411,411,411,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,401,399,399,399,399,399,399,399,399,399,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,219,219,219,219,219,219,219,219,219,219,233,233,233
14,64,35,20,44,44,102,122,183,352,854,418,174,105,82,54,148,79,555,338,745,481,388,243,205,188,175,208,2838,2470,5653,4930,206,192,192,192,182,182,182,182,182,182,182,182,182,182,182,189,189,189,189,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,73,66,66,66,66,66,66,66,66,66,66,66,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,154,152,152,152,152,152,152,152,152,152,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,149,149,149,149,149,149,149,149,149,149,175,175,175
2,21,10,5,33,92,38,31,284,267,277,201,325,220,141,95,57,57,57,57,57,57,57,57,54,54,54,58,56,54,54,54,54,54,54,54,54,54,54,54,54,54,54,56,54,54,74,115,96,72,68,68,68,68,68,68,68,68,68,68,68,68,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,99,79,70,70,70,70,83,267,203,90,83,184,162,394,358,234,1090,302,1090,959,1171,324,1450,1215,2563,2135,1369,1334,1326,1242,2014,1574,3344,2675,2593,2569,2479,2376,2368,2358,2362,2351,2341,2341,2341,2341,2341,2341,2341,2341,2341,2427,2425,2420,2414,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2434,2434,2434,2434,2434,2447,2447,2447,2447,2447,2447,2447,2447,2447,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433,1433,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,956,958,958,958,958,958,958,958,894,894,894,894,894,894,894,894,894,894,894,755,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,766,766,766,766,766,766,766,766,766,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,256,256,259,259,259,259,259,259,259,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,76,76,76,76,76,76,76,76,76,76,76,76,76
23,34,24,14,38,32,30,36,32,28,39,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,87,82,82,82,82,82,82,244,562,494,487,248,248,248,248,248,248,248,248,248,248,248,248,248,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,185,187,183,174,172,228,224,217,217,217,217,217,217,217,217,217,217,335,335,335,335,335,335,335,335,335,335,335,349,335,335,335,335,335,335,335,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,392,392,392,392,392,392,392,392,392,392,392,392,404,398,398,398,398,398,398,398,398,398,398,398,398,398,398,419,408,400,536,505,909,878,1033,1002,336,1047,591,1115,967,1245,1657,837,624,1434,779,731,714,667,620,612,415,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,370,370,370,370,370,382,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,405,405,405,405,405,405,405,405,405,405,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,169,169,169,169,169,169,169,169,169,169,169,169,169
7,8,45,35,19,11,6,2,2,2,2,2,2,2,2,2,2,18,24,14,40,35,22,185,87,78,28,12,27,91,140,94,66,35,25,24,24,24,24,24,24,24,24,24,24,24,24,45,140,111,133,103,132,114,87,69,88,207,594,465,316,198,218,180,171,163,93,142,108,295,246,200,847,766,697,665,742,168,1116,832,2300,1182,608,511,503,1611,2966,2593,2273,1526,1516,1516,1516,1516,1516,1516,1528,1526,1521,1521,1580,1576,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1972,1968,1966,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,2531,2452,1894,1894,1894,1906,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,2000,2000,2000,2000,2000,2000,2000,2000,2000,1101,1101,1101,1124,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,833,829,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,354,352,352,352,352,352,352,352,352,352,231,231,231,231,231,231,231,231,231,231,231,231,233,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,222,222,222,222,222,222,222,222,222,222,237,237,237
175,89,444,241,886,535,361,572,476,858,191,164,154,138,82,42,82,82,42,50,50,42,50,42,42,42,42,56,362,306,110,94,139,53,23,58,36,123,127,261,231,120,102,80,217,182,149,335,322,320,316,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,179,285,275,222,285,261,249,244,242,224,218,218,218,218,218,218,534,688,534,688,534,532,519,519,524,524,524,524,524,524,524,524,524,524,524,568,560,558,553,546,546,546,546,546,546,546,571,546,546,546,553,553,553,553,553,553,553,756,738,738,738,738,738,738,738,738,738,738,738,833,831,826,818,818,818,818,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,829,793,793,793,793,793,793,793,793,793,793,793,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,507,483,483,483,483,483,483,483,483,483,483,483,312,312,312,312,312,314,312,312,312,312,312,312,312,312,312,312,312,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,199,197,197,197,197,197,197,185,185,185,185,185,209,185,185,185,185,185,185,185,185,185,185,192,192,192,192,192,192,192,192,192,192,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,147,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,143,143,143,143,143,143,143,143,143,143,155,155,155
10,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,24,39,106,371,216,179,408,303,315,430,392,224,315,154,327,166,138,129,75,70,56,82,64,64,64,64,64,64,64,64,100,76,68,68,68,68,68,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,80,72,72,72,72,76,72,72,72,72,72,72,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,142,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,200,200,200,200,200,200,200,200,200,200,200,200,214,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,225,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,265,265,265,265,265,265,265,265,265,265,265,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,254,254,254,254,254,265,265,265,265,265,265,265,265,265,265,265,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,271,267,267,267,267,267,267,267,267,267,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,212,234,217,209,223,215,238,236,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,198,198,198,198,198,198,198,198,198,198,213,213,213
10,10,8,18,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,62,75,60,54,36,310,266,140,306,965,826,763,726,705,701,553,498,498,498,498,498,498,498,501,498,498,498,498,498,498,498,498,449,449,449,449,449,449,449,449,449,449,449,449,449,474,474,474,474,474,474,474,474,474,474,474,474,481,481,456,456,545,538,538,538,538,538,538,538,547,557,552,522,803,803,803,823,823,823,823,823,823,843,829,823,823,823,841,841,841,841,841,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,901,894,894,894,894,894,894,876,894,894,894,894,894,894,894,894,894,894,894,894,894,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,878,878,878,878,878,878,878,878,878,878,878,878,878,878,878,878,878,878,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,351,364,364,364,364,364,364,364,364,364,364,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,210,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,191,191,191,194,194,194,194,194,194,194,201,201,201
2,4,9,4,2,2,2,2,2,2,2,12,14,7,22,12,7,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,48,94,227,225,388,247,481,221,462,194,441,290,167,442,422,108,66,488,1077,538,1189,734,298,182,156,132,130,130,130,130,130,130,130,130,130,130,130,130,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,61,61,61,61,61,61,61,61,61,61,61,61,104,100,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,101,101,101,101,101,101,101,101,101,101,101,101,103,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,68,68,68,80,80,80
14,26,19,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28,33,38,29,28,23,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,28,104,187,420,404,346,346,346,346,346,346,346,349,346,346,346,346,346,346,346,346,346,346,346,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,145,145,145,145,145,145,147,147,147,147,147,147,147,147,147,147,147,147,207,216,207,203,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,203,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,200,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,85,85,85,85,85,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,91,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,103,103,103
