0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
84,78,67,51,47,40,59,33,29,29,29,29,29,29,29,29,40,35,35,31,31,29,29,29,29,29,41,38,38,38,38,38,38,38,50,38,49,53,53,51,51,51,52,51,51,51,51,51,51,51,54,51,54,51,51,51,54,54,68,66,71,66,66,66,66,66,69,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,75,78,75,75,78,75,75,78
88,95,83,71,40,29,50,35,35,32,26,24,22,22,22,22,34,46,40,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,44,44,42,42,42,47,42,45,42,45,53,53,53,54,53,54,53,54,53,54,54,64,64,62,62,62,62,62,62,62,64,64,64,64,64,64,64,64,64,70,74,68,68,72,72,68,68,68,68,72,72,74,76,74,74,76,76,74,76
116,96,90,96,85,85,91,77,73,57,66,52,44,42,42,42,43,59,53,51,51,51,51,51,54,51,54,68,68,66,66,64,64,64,64,64,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,68,72,72,68,68,68,68,72,72,76,78,78,74,76,74,74,76,76,78,78,78,78,78,78,78,78,78,78,78,78,84,85,85,84,85,85,84,84
154,117,95,72,84,68,107,77,54,51,50,31,27,27,27,27,39,52,52,46,42,42,42,42,44,42,44,56,56,52,52,52,53,52,53,52,53,55,55,55,55,55,57,55,56,55,56,64,64,64,65,64,64,64,64,64,64,64,66,67,67,66,66,66,66,66,66,66,67,67,66,67,67,66,67,67,71,73,69,69,71,69,69,71,71,69,71,71,73,74,73,73,74,74,73,74
53,35,45,33,30,26,51,33,33,30,26,22,22,22,22,22,34,48,48,42,38,38,38,38,38,38,38,42,42,42,42,42,42,42,42,42,42,44,44,42,42,42,43,42,42,42,43,43,43,43,45,43,43,43,45,43,45,45,53,54,54,53,54,54,53,54,54,62,62,62,62,62,62,62,62,62,64,64,64,62,62,62,62,62,62,62,62,62,66,69,69,66,66,66,66,66
66,46,29,29,14,12,34,29,29,26,24,22,22,22,22,22,34,49,49,33,33,27,27,27,27,27,38,42,39,39,39,39,41,39,39,39,40,48,44,42,42,42,42,42,42,42,42,48,48,44,45,42,43,42,42,42,43,43,51,54,54,51,54,54,51,54,54,66,68,68,62,62,62,62,62,62,62,63,63,62,63,63,62,63,62,62,63,63,67,67,69,67,69,69,67,69
155,180,156,89,66,80,64,62,66,58,47,43,30,27,25,25,36,47,43,40,40,40,40,40,40,40,40,46,46,42,42,42,42,42,42,42,44,52,52,52,52,52,53,52,53,52,52,59,59,53,53,53,53,53,53,53,53,53,61,59,57,53,54,54,53,53,53,70,73,73,64,64,64,64,64,64,66,69,69,66,69,69,66,66,69,66,69,69,69,69,69,69,69,69,69,69
77,51,56,59,54,46,60,51,35,34,31,29,29,25,25,25,36,44,42,38,38,38,38,38,38,38,38,44,42,42,42,42,42,42,43,42,43,45,45,43,43,43,45,43,45,43,45,53,53,53,53,53,53,53,53,53,53,53,55,56,55,55,56,56,55,56,56,66,66,66,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,68,68,68,76,78,78,76,78,78,76,78
113,99,60,64,107,62,52,64,53,51,32,30,27,25,25,25,35,42,42,40,37,37,37,37,37,37,38,50,50,42,42,42,42,42,42,42,42,44,42,42,42,42,45,42,45,42,45,53,53,53,55,53,54,53,54,53,54,54,62,63,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,70,66,72,66,67,67,66,67,67,66,67,67,71,73,73,71,73,71,71,73
40,30,19,27,27,24,50,31,28,24,22,22,22,22,22,22,34,34,34,27,27,25,25,25,25,25,36,44,40,40,40,40,40,40,40,40,40,50,50,42,42,42,42,42,42,42,42,44,42,42,42,42,44,42,42,42,44,44,44,46,46,44,46,46,44,46,46,62,62,62,62,62,62,62,62,62,64,64,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
