0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
588,589,566,589,596,622,622,629,622,630,633,633,621,628,630,630,612,619,653,643,646,672,678,676,676,692,686,720,714,714,715,708,720,720,732,732,723,722,724,722,722,717,706,708,708,706,710,712,712,712,712,712,712,712,712,711,712,712,718,719,718,719,719,719,712,712,712,712,711,712,712,712,712,707,711,706,718,718,719,718,713,713,712,713,714,707,707,707,707,700,700,699,698,699,699,698
559,559,559,558,558,558,571,571,574,574,566,555,563,584,584,578,578,578,578,578,578,578,622,616,616,616,616,616,616,592,618,630,630,610,630,630,630,618,618,618,618,618,618,618,618,628,628,628,648,628,628,648,648,648,648,648,650,650,650,643,648,648,648,648,648,643,650,643,650,648,648,646,646,646,646,658,652,658,658,658,658,658,658,658,646,646,646,648,672,672,671,680,680,680,681,680
630,630,623,623,623,614,614,614,616,616,616,613,613,634,613,613,634,613,613,613,613,600,600,600,600,621,621,633,624,624,624,633,633,639,642,642,642,653,661,662,662,661,661,663,661,661,661,674,676,676,674,675,676,676,676,677,677,677,677,671,671,671,671,669,675,676,676,676,676,677,677,671,671,671,673,673,679,668,668,667,666,668,666,667,667,675,676,675,669,669,663,663,664,663,669,675
558,558,618,576,576,625,634,625,667,667,656,663,670,660,658,659,648,648,649,649,653,655,655,664,664,664,664,667,666,678,674,674,680,680,664,655,639,653,653,653,653,653,647,653,643,642,647,641,641,642,643,643,638,641,641,652,672,672,672,672,661,661,661,661,657,657,657,657,654,657,653,646,646,646,653,646,646,646,646,646,646,646,656,656,650,650,650,650,668,668,668,668,687,688,687,687
444,444,472,480,480,493,502,494,513,519,516,502,502,528,540,584,581,595,607,631,631,631,630,631,631,631,631,631,631,631,631,632,635,630,631,633,632,641,633,633,633,633,631,631,631,631,631,630,674,662,671,665,674,674,674,674,668,670,676,670,668,680,680,680,675,675,680,680,680,680,680,680,685,679,685,680,680,680,686,685,686,686,685,686,686,685,680,680,681,681,674,681,681,680,680,673
614,590,608,584,590,635,614,632,638,607,648,641,667,675,679,642,649,656,656,682,685,686,678,656,677,672,680,670,651,652,670,672,675,660,656,670,660,660,674,671,674,673,671,657,652,655,647,652,654,661,665,681,666,661,661,667,662,661,677,661,660,669,668,673,683,685,678,680,686,680,686,680,686,687,681,679,681,687,688,688,688,688,687,687,681,680,680,678,680,679,679,681,681,680,687,686
565,574,566,574,574,594,599,595,596,598,600,599,597,600,600,600,595,595,617,614,614,610,630,644,644,644,668,668,668,668,668,668,679,677,677,679,679,677,677,677,677,677,678,678,678,667,671,679,681,686,688,686,686,688,688,689,688,687,689,687,688,689,680,680,684,678,681,670,669,669,669,676,674,675,675,675,681,681,681,683,683,683,690,688,690,690,689,688,688,702,699,699,699,704,704,704
598,612,612,612,612,612,612,612,611,612,612,611,611,611,612,612,611,589,592,592,610,612,612,613,612,612,609,608,600,600,601,595,655,654,654,660,654,642,642,642,641,642,650,644,642,641,641,642,641,641,666,675,675,676,677,677,682,683,682,681,681,682,695,693,694,695,693,694,700,693,694,694,695,695,686,688,687,687,685,685,684,696,696,696,699,686,684,684,684,685,684,684,685,685,684,684
573,582,589,538,549,514,494,522,514,519,520,522,532,533,533,522,532,542,542,568,592,600,599,599,599,599,598,600,607,597,613,654,638,654,644,647,658,661,655,657,663,673,673,675,672,657,657,658,644,644,620,620,644,644,645,644,640,641,642,654,654,653,658,658,658,658,653,653,642,642,658,656,657,658,657,657,658,646,648,651,650,650,650,650,650,649,649,649,673,673,673,673,684,685,686,685
469,469,469,467,464,464,462,455,455,462,468,461,461,483,483,519,511,521,531,520,528,580,580,580,604,604,604,604,608,604,604,604,606,594,592,604,624,624,624,624,624,616,618,640,640,644,644,664,664,676,670,650,650,644,642,644,642,644,635,635,635,635,623,623,623,637,635,635,638,639,639,638,631,631,638,638,638,638,638,638,638,638,647,647,647,647,666,659,654,641,653,659,670,664,659,659
498,492,514,511,480,479,480,483,483,480,483,480,480,536,541,548,555,555,561,561,562,562,562,562,562,562,562,562,562,596,596,596,583,581,613,613,613,613,613,613,613,633,633,634,672,679,679,679,679,679,679,658,658,658,682,681,681,681,681,681,681,682,682,682,670,671,665,665,677,677,677,665,665,670,670,665,671,670,670,671,674,674,681,676,674,676,681,672,667,679,671,666,676,680,675,675
521,522,547,530,530,530,589,589,607,607,533,607,606,599,635,633,635,639,641,637,635,621,631,633,623,631,632,657,656,665,689,689,681,681,677,672,669,676,668,675,666,662,659,660,668,669,671,668,671,670,680,677,681,681,684,684,680,663,666,659,650,657,661,638,674,671,671,672,671,659,651,666,666,662,659,658,662,669,669,669,660,668,669,670,670,670,670,670,670,671,670,670,671,671,671,682
493,515,512,506,532,535,523,523,516,534,534,534,523,531,521,531,531,531,531,555,555,555,559,559,559,561,559,559,559,555,605,581,581,581,581,581,574,586,612,615,619,607,600,591,614,626,624,614,626,624,624,624,624,624,624,619,609,610,622,629,629,629,652,653,678,682,695,707,699,707,700,687,667,675,674,675,668,674,667,666,661,675,666,666,687,680,680,680,680,680,687,689,696,707,707,707
621,610,606,606,608,604,598,598,595,613,626,624,619,619,621,645,639,652,652,655,657,669,669,686,683,665,667,676,670,682,676,697,703,710,698,692,698,704,699,701,696,698,678,672,686,685,689,686,684,679,671,687,690,692,690,686,686,686,685,686,692,686,692,680,680,680,680,680,680,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,692,697,698,697,697,683,689,689,690,689,690,690
612,599,609,604,576,566,591,618,594,593,619,586,608,603,616,616,651,653,663,676,681,663,656,675,677,659,675,670,680,675,674,674,649,664,664,657,658,658,658,658,658,681,687,659,680,682,682,682,682,682,676,676,682,682,682,682,687,685,679,678,684,678,685,679,670,670,670,670,668,673,665,668,677,677,679,679,679,679,674,672,669,673,673,674,679,686,699,706,689,690,690,690,683,678,690,682
614,653,665,642,665,665,666,665,664,672,691,688,671,662,660,648,640,648,640,649,647,640,642,642,642,642,640,634,637,635,635,629,642,642,641,641,640,634,640,636,624,624,630,630,630,630,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,650,650,643,648,648,648,643,650,643,643,643,649,673,667,674,685,672,672,680,674,674,672,672,672,672,680,680,675,682,689,689,689,688,688,688
468,506,486,506,506,506,536,532,558,562,542,543,505,515,503,547,547,554,554,554,557,569,572,576,569,569,588,587,577,577,571,577,575,580,599,593,575,587,590,591,600,600,610,647,629,630,622,624,621,648,639,639,645,648,645,648,650,647,636,637,631,636,627,625,628,626,633,626,609,621,631,626,626,640,626,626,626,629,642,651,639,630,625,625,624,638,643,638,650,645,645,645,644,644,641,641
598,601,601,600,605,610,597,591,603,604,604,598,633,623,612,618,621,622,617,616,614,615,614,614,615,594,593,599,599,600,600,599,599,599,600,598,597,609,637,624,625,624,623,643,643,644,649,650,647,648,648,672,671,671,679,679,679,679,662,662,650,650,655,655,650,650,650,650,655,650,650,652,652,652,664,664,646,664,664,664,664,664,664,676,676,676,678,664,664,663,663,663,677,677,677,677
535,537,562,562,562,562,562,560,581,600,600,600,600,624,652,652,652,652,648,648,648,684,669,669,669,669,669,669,669,681,685,697,697,700,703,699,699,699,704,698,704,698,704,698,698,703,703,703,699,699,703,699,703,703,703,703,703,703,703,703,703,703,703,703,698,703,703,703,682,674,674,674,669,674,674,669,664,691,691,686,686,673,673,673,660,661,662,668,668,668,667,667,679,679,679,672
407,476,483,534,546,549,633,637,636,636,615,615,603,603,658,658,621,585,603,622,622,641,641,641,641,641,653,653,647,646,646,646,658,685,685,685,668,663,665,663,663,673,675,677,667,667,667,653,653,653,665,665,665,667,666,668,666,666,677,675,675,675,675,675,677,677,677,677,701,700,700,701,691,700,700,700,688,676,676,676,676,676,676,676,676,676,676,676,700,700,689,689,689,688,688,700
457,457,481,483,497,497,497,511,511,511,509,509,509,509,516,516,516,509,509,507,507,514,515,516,515,515,517,517,517,517,517,515,573,575,575,573,574,575,580,581,580,581,580,580,575,573,575,575,603,603,603,607,603,599,599,598,599,603,598,599,597,597,602,603,603,605,603,603,603,604,638,638,638,641,650,651,653,653,652,652,653,652,676,675,677,675,666,668,668,676,675,675,676,676,676,675
562,595,595,578,590,582,581,589,569,564,559,567,584,587,597,600,598,600,593,591,588,581,596,600,604,603,601,600,586,588,611,610,613,612,587,586,581,587,592,588,592,592,588,587,587,591,591,593,617,646,646,621,646,646,641,641,640,634,631,631,631,654,677,678,678,685,685,674,674,674,674,662,662,662,661,673,673,674,673,673,673,673,673,674,674,673,676,676,677,678,665,665,665,665,665,665
601,605,610,600,604,602,602,604,600,600,641,641,641,641,647,647,646,646,648,671,669,666,661,662,656,663,654,658,664,664,664,664,634,632,632,632,632,632,626,620,626,632,632,632,632,632,632,637,637,637,634,634,634,634,634,657,657,657,657,664,666,666,666,664,664,664,664,671,671,671,671,671,671,692,692,692,692,690,688,688,690,692,681,682,682,681,681,679,679,680,680,682,680,681,679,678
621,595,595,585,585,575,581,588,585,583,583,585,592,589,589,595,632,622,622,586,586,580,579,579,579,574,579,579,579,577,579,577,600,603,600,605,608,617,618,616,621,621,618,618,632,632,632,618,618,618,620,608,629,629,630,626,621,631,618,621,621,618,621,629,629,629,637,637,637,637,637,663,675,672,674,674,674,686,685,680,686,686,688,690,688,690,688,686,688,688,691,691,696,696,696,705
557,584,576,572,579,578,587,603,610,619,626,633,621,630,633,633,633,632,656,657,656,645,645,646,646,656,656,654,654,654,654,654,657,656,656,657,656,654,654,654,654,654,654,649,649,647,647,647,647,647,647,647,647,693,693,693,693,687,693,693,693,693,693,681,681,681,680,681,701,702,702,692,692,692,699,700,701,701,701,701,701,701,700,701,700,700,700,701,701,701,694,682,682,682,683,689
549,549,550,553,545,520,550,666,666,666,657,689,678,689,689,693,683,683,685,687,691,690,677,658,676,676,680,684,692,680,683,682,678,673,676,691,691,703,695,702,710,710,688,670,677,672,672,672,677,677,677,678,678,677,677,672,677,678,696,689,689,690,690,690,689,695,696,697,696,679,679,673,678,678,673,674,670,663,663,663,653,650,648,648,648,648,648,648,670,671,668,667,663,664,667,666
472,472,472,485,485,485,481,485,525,549,542,547,548,547,547,548,609,616,614,615,616,646,646,640,646,639,640,639,651,651,651,650,651,650,645,646,646,646,640,645,645,645,676,670,670,670,673,672,672,678,674,662,662,662,662,662,662,662,666,666,666,666,666,666,666,666,662,666,662,662,662,662,662,662,662,656,662,662,668,668,668,668,668,668,667,668,668,668,662,662,662,668,667,667,668,668
529,528,499,528,548,546,551,546,562,562,572,594,608,624,663,663,663,662,671,675,675,675,675,675,684,675,678,687,689,692,692,687,692,702,703,703,704,703,703,703,703,703,700,688,688,662,648,647,645,644,645,645,650,650,650,650,650,637,637,637,632,646,651,670,670,670,670,670,670,670,670,670,677,677,677,677,698,698,698,698,699,699,699,699,701,688,676,688,688,688,687,688,689,676,677,677
562,567,576,568,565,551,559,559,576,567,573,549,548,532,522,564,570,572,585,591,590,587,600,612,610,616,616,616,596,590,582,582,585,582,588,612,618,622,623,625,629,665,662,662,659,659,672,676,680,679,680,681,686,689,683,677,677,683,683,683,686,686,686,686,683,683,692,695,692,692,694,694,694,681,692,695,681,681,683,683,683,683,683,682,694,689,694,689,694,694,694,694,694,687,682,688
410,410,410,496,523,600,605,570,604,585,585,606,604,596,596,598,594,598,598,618,614,613,672,669,645,633,645,648,645,645,645,661,649,646,646,647,647,647,647,647,647,647,646,646,646,649,649,652,652,655,677,673,685,691,694,682,676,676,676,676,679,679,682,682,682,682,682,682,673,668,668,680,692,692,687,687,687,692,693,687,687,680,668,668,680,674,675,674,680,681,681,674,686,681,681,674
593,605,613,616,617,616,615,608,608,614,616,618,616,619,620,620,619,617,619,626,625,626,625,625,626,637,639,651,652,653,654,653,653,653,653,652,651,651,652,652,652,651,651,651,651,651,651,650,650,650,650,651,650,651,652,652,652,652,652,652,676,676,678,678,671,678,671,671,671,695,695,691,691,679,679,679,679,679,679,679,679,688,688,688,679,679,681,687,673,687,688,688,689,688,689,689
536,530,516,534,540,575,620,620,613,614,614,608,611,611,615,606,638,635,636,636,636,636,664,652,652,651,650,655,650,650,650,655,655,655,650,650,651,652,644,652,652,652,652,652,651,652,652,652,654,652,652,652,654,654,654,651,649,651,651,652,653,651,653,653,654,652,651,652,652,651,652,652,651,651,650,650,655,656,656,656,656,654,652,652,652,652,652,651,652,650,650,650,664,664,664,664
566,551,582,591,594,581,561,561,565,565,565,565,561,561,574,574,575,632,638,638,638,638,652,652,635,627,627,627,645,645,672,672,699,680,678,678,697,697,710,708,713,713,713,692,692,692,698,698,698,697,699,698,699,699,698,699,699,688,699,698,699,698,698,698,698,698,710,710,710,710,710,710,710,710,710,710,710,710,710,698,693,693,693,693,692,692,691,691,692,692,681,681,683,683,683,682
521,522,533,555,555,552,557,575,572,573,564,564,602,595,598,606,608,591,589,585,590,587,584,590,593,581,580,594,599,601,596,594,591,594,594,594,594,594,593,591,594,594,593,594,594,594,595,595,597,596,597,595,598,598,595,595,592,592,609,609,607,607,607,606,608,609,609,616,609,615,616,616,609,638,636,637,661,661,661,651,658,659,659,659,657,657,667,666,667,667,667,666,666,667,667,667
541,565,565,605,618,617,614,618,618,640,639,619,631,631,631,631,633,633,625,632,630,630,600,600,600,600,600,600,600,600,600,600,600,600,564,568,568,568,569,569,591,592,608,607,608,618,618,594,593,595,597,597,596,617,618,646,646,655,667,667,666,666,666,667,667,666,666,666,605,605,602,648,648,648,648,676,675,664,664,664,688,688,688,688,688,688,688,688,710,698,698,693,694,694,697,694
