0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5048,2934,2602,2037,2037,2037,2037,2047,2047,2380,2304,2304,2323,2324,2324,2321,2321,2321,2321,2321
828,4252,4400,4424,3216,3068,2749,2749,2749,2940,2914,2862,2862,2872,2872,2872,2872,2802,2802,2853
596,32809,30823,18073,15426,15520,12934,12626,9215,11839,11839,12107,12663,12569,12569,12569,12287,12287,2740,2340
1000,3332,2769,2752,2758,2758,2402,2413,2413,2801,2801,2801,2828,2838,2838,2838,2838,2838,2838,2839
896,714,4452,4452,4556,4274,4274,4295,3314,3602,3196,3196,3214,3215,3215,3215,3121,3121,3121,3131
4616,4474,3533,3305,3338,3338,3338,3350,2389,2281,2273,2273,2275,2286,2286,2286,2286,2286,2233,2243
876,4348,4106,3280,3072,2756,2756,2040,2404,2711,2711,2711,2716,2637,2637,2637,2637,2637,2637,2648
7714,4941,3157,2485,2357,2357,2357,2047,2047,2420,2397,2397,2413,2414,2414,2414,2414,2414,2414,2424
2162,1679,1216,1359,839,836,836,807,807,825,825,825,825,825,825,825,825,825,761,761
1103,1082,6790,4555,3011,3027,3027,3028,3028,3702,3702,3702,3782,3640,3640,3649,3649,3649,3629,3629
1025,856,17952,11519,11834,11845,9850,9793,9793,12311,12311,12311,12822,12864,12864,12864,12850,12850,12850,12851
984,1163,4323,4773,3865,3739,3739,3740,3740,4205,4194,4194,4212,4212,4212,4212,4212,4212,4212,4212
19166,15652,15670,15670,15864,16075,13692,26337,26333,3361,3361,3361,3357,3357,3357,3296,3296,3296,3296,649
690,661,3150,2857,2756,2756,2756,2777,2708,3144,3144,3144,3030,3031,3031,3031,3031,3031,2987,2997
34253,12298,8544,7564,8080,7460,7460,6919,6919,10653,11936,11790,12256,12298,12298,12018,12018,12298,12287,2741
1495,1298,853,849,667,667,667,3314,3314,3534,3534,3534,3552,3109,3015,3015,3015,2974,2974,3024
801,819,573,24138,25493,25638,25638,25638,25730,3515,2917,2917,2274,2284,2284,2284,2284,2284,2284,2232
3468,3405,3267,3261,3287,3287,3252,3274,3262,3472,2957,2917,2925,2935,2935,2935,2928,2928,2897,2909
28208,17940,15142,15142,15884,15906,15906,15962,15744,21535,9820,4115,4126,4126,4126,4126,4126,4126,4126,4126
1286,4828,4180,3048,3073,3073,3073,3074,3074,2506,2402,2402,2422,2423,2423,2423,2423,2423,2341,2293
816,624,16286,12722,12978,13062,13062,11634,11634,13960,13960,13960,14153,14186,14186,14186,14186,14047,14047,3424
1048,839,903,3146,2692,2692,2692,2702,2702,3073,3061,3061,3085,3086,3086,3086,3086,3086,3033,3033
792,556,23842,20483,21857,16505,2944,2945,2945,2475,2475,2475,2495,2496,2496,2496,2496,2414,2827,2828
3994,3457,3939,3579,2402,2358,2037,2047,2047,2420,2344,2344,2360,2371,2371,2371,2371,2371,2371,2372
5884,3507,2757,2757,2757,2757,2757,2768,2699,2937,2937,2937,2947,2306,2306,2306,2306,2306,2306,2710
595,3852,3694,3694,3724,3724,2937,2938,2938,3482,3470,3470,3515,3516,3516,3516,3516,3396,3396,3348
488,488,456,16756,17310,17407,17869,17869,2040,2334,2313,2313,2319,2329,2329,2329,2329,2244,2253,2264
839,694,3864,4240,4242,4242,4242,4253,4274,4746,4145,4145,4162,4162,4162,4162,4162,4162,4114,4051
6888,4254,3617,3887,3919,2693,2692,2702,2702,3093,3073,3073,3097,3098,3098,3098,3098,3098,3098,3095
1206,6805,3142,2596,2367,2367,2367,2378,2375,2653,2621,2621,2646,2646,2646,12975,12975,12975,12975,2665
625,444,18833,18905,19813,19814,2367,2377,2377,2778,2778,2778,2818,2740,2740,2740,2740,2740,2740,2741
34711,26125,8866,6792,7234,6928,6928,6999,6999,12144,12270,12270,12413,12443,12443,12443,11866,2261,2261,2262
914,4463,3294,3294,3302,3302,3302,3323,3323,2771,2767,2767,2785,2796,2796,2796,2796,2743,2743,2744
5234,5112,4934,3674,2910,2681,2681,2680,2680,2887,2887,2887,2887,2897,2897,2897,2897,2897,2253,2254
