0,1,2,3,4,5,6,7,8,9
209,202,337,188,84,101,43,11,7,2
787,449,175,112,35,23,21,13,5,2
481,408,219,111,60,47,21,21,3,3
462,449,154,120,122,89,21,21,9,5
383,608,144,39,39,46,34,10,6,6
892,762,242,156,71,80,32,18,12,2
2447,322,170,51,34,21,14,5,3,1
267,364,200,103,56,32,32,6,6,1
273,128,844,810,689,91,73,29,15,9
164,162,113,211,115,53,40,23,23,1
307,507,261,208,112,92,39,39,6,3
879,317,289,154,160,62,65,22,22,15
315,453,175,109,76,52,37,37,15,2
1257,361,319,112,129,48,48,25,3,3
359,247,213,124,47,70,26,26,11,2
1299,626,205,140,21,34,17,19,10,3
365,198,179,78,78,68,16,6,6,1
2551,743,500,500,482,82,77,16,16,2
348,710,208,96,97,68,49,6,3,1
165,604,530,172,33,33,13,8,8,1
155,292,275,74,49,53,34,17,17,3
287,732,518,121,121,123,25,25,6,1
266,625,233,121,26,23,13,8,4,1
283,264,153,88,67,47,30,21,21,3
517,239,208,108,110,91,58,10,10,6
569,548,226,161,84,98,51,51,14,2
1898,423,417,121,50,90,23,31,17,3
2414,441,180,57,41,71,21,10,6,3
513,355,144,415,268,96,51,25,15,2
229,396,340,129,74,42,19,19,6,3
302,270,257,128,72,41,19,8,8,5
120,107,425,314,244,40,18,16,10,2
581,641,245,214,80,44,48,12,3,3
473,195,184,84,41,29,29,10,10,2
226,372,207,98,102,71,43,27,17,2
230,306,224,224,187,46,25,10,10,3
262,205,172,88,52,38,32,6,6,1
869,615,328,152,134,82,37,37,20,7
222,360,191,133,143,94,29,14,14,1
137,646,292,153,46,39,31,10,5,1
441,141,84,84,38,16,16,6,6,3
656,387,336,215,45,23,23,13,8,2
907,529,142,128,95,72,37,23,12,8
337,509,270,270,221,41,26,26,3,3
584,260,143,63,41,26,16,9,5,1
199,109,682,412,54,44,30,19,19,5
1773,280,198,70,74,55,36,24,24,10
791,467,412,234,91,57,26,26,11,3
207,85,236,87,41,67,51,51,29,3
517,269,164,48,48,54,54,21,14,4
