0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447
14,19,13,43,28,13,73,58,16,239,197,220,552,357,202,145,514,335,234,789,441,266,244,218,425,218,218,229,218,218,229,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,326,284,246,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,217,223,218,214,214,314,286,267,256,256,256,256,256,256,256,256,256,354,478,887,755,505,454,640,631,657,657,657,657,657,657,657,657,603,603,603,603,603,603,603,603,603,573,603,603,603,573,573,573,603,603,603,603,573,603,603,603,573,615,615,615,615,585,585,585,585,585,223,223,223,223,223,223,223,223,223,223,223,223,223,203,203,203,203,203,203,203,203,203,203,203,233,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,287,287,287,287,287,287,287,287,287,287,287,289,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,239,239,239,239,239,244,244,244,244,244,244,244,244,244,244,244,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,251,251,251,251,251,251,251,251,251,251,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,180,180,180,180,180,180,180,180,180,180,193,193,193
6,12,787,478,1857,3010,725,179,230,284,142,78,165,82,323,189,108,1126,687,261,147,802,538,499,131,106,88,88,88,88,88,88,88,161,72,72,72,72,72,72,72,72,72,72,72,72,72,175,432,270,222,159,135,117,183,117,107,100,100,100,100,100,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,125,102,102,102,102,102,102,102,102,120,115,110,110,110,110,110,110,110,110,110,110,196,213,196,172,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,172,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,174,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,112,112,120,112,112,112,112,112,112,112,112,112,112,112,112,112,112,120,112,112,112,112,120,120,120,112,112,112,120,120,120,120,120,120,120,120,120,120,120,120,120,120,112,112,112,120,128,128,128,128,128,128,128,128,128,128,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,117,117,117
66,99,214,101,72,30,18,31,503,272,182,196,122,341,230,137,88,121,108,101,101,101,101,101,101,101,101,554,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,428,428,428,419,487,469,575,538,321,506,502,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,363,363,363,363,441,436,436,436,436,436,436,441,436,436,436,436,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,624,618,618,618,618,618,618,618,618,618,618,623,623,623,623,623,623,623,623,623,623,623,702,697,697,697,697,697,697,697,697,692,692,692,706,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,702,702,793,707,707,707,707,702,702,702,702,702,702,702,702,702,702,702,559,559,559,559,559,559,559,559,559,559,579,836,579,836,1370,836,624,605,601,601,601,601,601,601,601,601,601,601,601,601,409,409,409,409,409,411,411,411,411,411,411,411,411,411,411,411,411,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,404,401,399,399,399,399,399,399,399,399,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,219,219,219,219,219,219,219,219,219,219,233,233,233
183,94,47,62,31,17,8,5,14,10,5,40,26,12,24,405,585,291,161,88,49,355,194,1043,658,613,87,732,622,1056,968,779,845,715,631,584,568,554,554,554,554,554,554,554,554,554,554,584,671,584,570,418,418,558,558,558,558,558,558,558,558,558,560,558,558,558,558,550,550,410,558,132,132,132,132,118,132,132,132,132,132,132,132,118,118,118,118,118,118,118,118,118,118,118,106,118,124,120,287,283,843,560,499,487,485,485,485,485,485,485,485,485,983,983,983,983,983,983,983,983,983,983,983,983,979,979,979,979,979,979,979,1016,1009,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1034,1034,1034,1034,1034,1034,1034,1216,1173,1173,1173,1173,1173,1173,1173,1173,1147,1147,1147,1198,1196,1196,1196,1196,1196,1196,1208,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1203,1201,1201,1201,1201,1229,1221,1215,1215,1215,1215,1215,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1171,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,666,666,666,666,666,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679,681,681,681,681,681,681,681,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,558,553,553,553,553,553,553,553,553,545,369,369,375,375,375,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,246,246,246,246,246,246,246,246,246,246,269,269,269
10,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,24,39,18,25,18,18,18,18,18,18,18,18,18,18,18,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,31,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,31,31,31,31,31,31,31,31,31,31,31,31,42,36,122,442,268,141,443,264,281,90,82,80,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,142,142,142,146,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,223,200,200,200,200,200,200,200,200,200,200,200,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,269,265,265,265,265,265,265,265,265,265,265,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,254,254,254,254,254,265,265,265,265,265,265,265,265,265,265,265,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,271,267,267,267,267,267,267,267,267,201,201,201,201,201,201,201,201,201,201,207,226,209,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,214,247,283,259,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,198,198,198,198,198,198,198,198,198,198,213,213,213
19,14,7,4,13,22,14,40,21,15,10,7,7,7,7,7,7,7,7,7,7,7,7,13,218,110,58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,814,453,964,1481,538,1201,569,453,409,345,315,285,263,252,495,935,500,1016,1397,862,718,598,1285,794,651,749,581,505,601,474,452,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,460,472,496,484,484,484,702,1249,1162,1101,1091,1091,1091,1091,1091,1091,1091,1091,1983,1983,1999,1992,1992,1992,1992,1992,2082,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2476,2464,2458,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2581,2581,2581,2581,2581,2581,2581,3748,3746,3754,3754,3754,3754,3754,3754,3754,2589,2589,2589,2591,2591,2615,2615,2615,2591,2591,2591,2591,2591,1699,1699,1699,1699,1699,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1529,1529,1529,1529,1529,1529,1529,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357,869,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,866,852,834,834,834,834,834,834,834,834,834,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,319,336,345,337,336,332,332,332,332,332,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,143,143,143,143,143,143,143,143,143,143,143,143,143
29,34,22,206,109,91,109,77,59,50,42,40,40,47,180,139,139,139,141,169,31,524,298,152,980,477,254,723,698,380,342,159,114,208,184,181,163,163,163,163,163,163,163,163,163,163,163,215,207,205,205,205,205,213,213,213,213,213,213,213,213,213,220,220,220,220,197,195,195,195,195,195,195,195,195,195,220,220,220,195,195,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,197,197,197,197,291,281,276,276,276,276,276,276,276,276,276,276,546,532,717,1704,1253,1704,1303,1168,1099,989,947,900,947,912,870,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,917,917,917,961,961,961,961,961,961,961,961,961,613,613,613,623,623,623,656,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,628,626,626,626,626,736,731,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,726,918,906,906,906,906,906,906,906,896,896,896,908,913,913,913,913,913,913,903,903,903,903,903,903,903,903,903,903,903,903,725,725,725,725,725,727,727,727,727,727,727,727,727,727,727,727,727,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,326,321,321,321,321,321,321,321,321,321,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,201,201,201,201,201,201,201,201,201,201,207,207,207
145,124,207,660,369,230,85,81,589,114,98,137,57,125,55,45,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,142,68,68,68,68,68,68,68,68,68,68,68,68,129,252,290,201,479,480,828,479,639,731,827,1004,775,541,357,692,563,218,112,102,94,94,94,94,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,78,76,76,76,76,76,76,76,76,76,76,76,113,104,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,95,95,95,95,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,109,109,109,109,109,109,109,109,109,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,91,91,91,91,91,97,91,91,91,91,91,91,91,91,91,91,91,91,156,152,152,152,152,152,152,152,152,152,152,154,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,156,154,152,152,152,152,152,152,152,152,152,154,154,154,154,154,154,154,154,162,215,185,172,169,167,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,175,172,170,170,170,170,170,170,170,170,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,127,127,127,127,127,127,127,127,127,127,151,151,151
14,22,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,20,37,30,80,42,40,40,40,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,69,69,69,69,69,69,69,69,69,69,69,69,159,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,145,143,143,143,143,153,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,199,195,195,195,195,195,195,195,195,195,195,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,204,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,209,209,209,209,209,209,212,209,209,209,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,138,135,135,135,135,135,135,135,135,135,135,135,138,135,135,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,140,140,140,140,140,140,140,140,140,140,156,156,156
14,31,13,7,6,5,27,46,33,28,70,138,201,119,445,122,51,74,63,36,53,235,492,2266,1093,896,812,1002,1242,1086,976,634,556,600,600,600,600,600,600,600,600,600,600,600,600,600,600,644,626,680,280,680,668,664,664,664,664,664,664,664,664,664,687,679,673,744,673,668,668,668,668,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,318,310,524,484,485,484,450,481,450,434,432,432,547,519,507,507,507,507,507,507,507,507,507,507,507,507,507,507,481,481,481,489,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,538,536,536,536,536,536,536,536,536,392,392,392,408,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,418,423,418,411,405,435,405,405,405,405,405,405,405,405,405,405,405,405,465,471,471,471,465,471,465,441,434,434,434,436,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,293,293,293,293,293,302,295,295,295,295,295,295,295,295,295,295,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,259,255,253,253,253,253,253,253,253,253,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,151,151,151,151,151,151,151,151,146,151,160,160,160
